detectorType,descriptorType,matcherType,imgIndex,ttcLidar,ttcCamera,lidarPointsSize,kptMatchesSize
SHITOMASI,BRISK,MAT_BF,3,16.963,13.2483,321,60
SHITOMASI,BRISK,MAT_BF,12,10.1,11.8354,300,79
SHITOMASI,BRISK,MAT_BF,23,8.43069,9.18399,487,89
SHITOMASI,BRISK,MAT_BF,25,7.14768,9.02606,446,97
SHITOMASI,BRISK,MAT_BF,26,9.97707,9.00907,433,90
SHITOMASI,BRISK,MAT_BF,28,12.6681,11.4475,506,95
SHITOMASI,BRISK,MAT_BF,29,7.25063,11.2438,441,94
SHITOMASI,BRISK,MAT_BF,30,7.52726,13.3136,476,93
SHITOMASI,BRISK,MAT_BF,33,9.22618,12.5139,544,105
SHITOMASI,BRISK,MAT_BF,34,7.60959,10.5876,591,93
SHITOMASI,BRISK,MAT_BF,35,6.59279,9.51293,582,93
SHITOMASI,BRISK,MAT_BF,36,10.6294,9.74004,455,87
SHITOMASI,BRISK,MAT_BF,38,4.99238,8.05658,575,128
SHITOMASI,BRISK,MAT_BF,39,5.47658,9.78403,603,130
SHITOMASI,BRISK,MAT_BF,40,5.20724,8.54985,634,124
SHITOMASI,BRISK,MAT_BF,47,6.95384,11.6967,500,128
SHITOMASI,BRISK,MAT_BF,48,nan,11.5297,529,117
SHITOMASI,BRISK,MAT_BF,49,-149.754,11.8425,468,123
SHITOMASI,BRISK,MAT_BF,53,29.486,inf,411,152
SHITOMASI,BRISK,MAT_BF,53,2.32789,inf,411,304
SHITOMASI,BRISK,MAT_BF,54,nan,-5.04523,5,228
SHITOMASI,BRISK,MAT_BF,56,-2.79273,-7.39101,11,278
SHITOMASI,BRISK,MAT_BF,56,2.31361,inf,440,134
SHITOMASI,BRISK,MAT_BF,57,-23.3578,inf,448,147
SHITOMASI,BRISK,MAT_BF,58,-2.87375,-9.12811,12,311
SHITOMASI,BRISK,MAT_BF,58,2.64821,inf,417,134
SHITOMASI,BRISK,MAT_BF,59,13.8031,inf,452,139
SHITOMASI,BRISK,MAT_BF,59,2.44033,inf,452,278
SHITOMASI,BRISK,MAT_BF,60,-15.3309,inf,416,157
SHITOMASI,BRISK,MAT_BF,60,2.85,inf,416,314
SHITOMASI,BRISK,MAT_BF,61,-2.84445,-10.9214,14,294
SHITOMASI,BRISK,MAT_BF,61,-14.4002,-10.9214,14,588
